,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0021600457,,,12:00,1,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,2:39 PM
1,0,10,1,0021600457,Jump Ball Thompson vs. Pachulia: Tip to Green,,12:00,1,4.0,5,5,202684,Tristan Thompson,CLE,Cleveland,1610612739.0,Cavaliers,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,,,,2:39 PM
2,45,5,2,0021600457,,,11:42,1,5.0,0,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Curry Out of Bounds - Bad Pass Turnover Turnover (P1.T1),2:39 PM
3,1,5,3,0021600457,James Bad Pass Turnover (P1.T1),,11:22,1,4.0,5,0,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,Durant STEAL (1 STL),2:39 PM
4,41,1,4,0021600457,,,11:17,1,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,2 - 0,-2,Durant 1' Running Layup (2 PTS),2:39 PM
5,42,2,5,0021600457,MISS James 1' Driving Layup,,10:59,1,4.0,0,0,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:40 PM
6,0,4,6,0021600457,,,10:58,1,5.0,0,0,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Pachulia REBOUND (Off:0 Def:1),2:40 PM
7,1,2,7,0021600457,,,10:51,1,5.0,0,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Thompson  3PT Jump Shot,2:40 PM
8,0,4,8,0021600457,Love REBOUND (Off:0 Def:1),,10:50,1,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:40 PM
9,1,2,9,0021600457,MISS Love 25' 3PT Jump Shot,,10:42,1,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:40 PM
10,0,4,10,0021600457,,,10:42,1,5.0,0,0,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Pachulia REBOUND (Off:0 Def:2),2:40 PM
11,1,5,11,0021600457,Love STEAL (1 STL),,10:30,1,5.0,4,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green Bad Pass Turnover (P1.T2),2:40 PM
12,41,2,12,0021600457,MISS Irving 1' Running Layup,,10:24,1,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:40 PM
13,0,4,13,0021600457,CAVALIERS Rebound,,10:24,1,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,2:40 PM
14,2,6,15,0021600457,,,10:08,1,5.0,4,1,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green S.FOUL (P1.T1) (M.Callahan),2:41 PM
15,11,3,16,0021600457,Love Free Throw 1 of 2 (1 PTS),,10:08,1,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,2 - 1,-1,,2:41 PM
16,12,3,18,0021600457,Love Free Throw 2 of 2 (2 PTS),,10:08,1,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,2 - 2,TIE,,2:42 PM
17,42,1,20,0021600457,,,9:57,1,5.0,5,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,0,,,,,,4 - 2,-2,Thompson 2' Driving Layup (2 PTS) (Pachulia 1 AST),2:42 PM
18,3,2,21,0021600457,MISS Thompson 6' Hook Shot,,9:38,1,4.0,0,0,202684,Tristan Thompson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:42 PM
19,0,4,22,0021600457,,,9:38,1,5.0,0,0,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Pachulia REBOUND (Off:0 Def:3),2:42 PM
20,1,2,23,0021600457,,,9:31,1,5.0,0,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Thompson 27' 3PT Jump Shot,2:42 PM
21,0,4,24,0021600457,Liggins REBOUND (Off:0 Def:1),,9:31,1,4.0,0,0,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:42 PM
22,2,6,25,0021600457,,,9:25,1,5.0,4,1,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green S.FOUL (P2.T2) (M.Boland),2:42 PM
23,11,6,26,0021600457,,,9:25,1,5.0,0,1,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Green T.FOUL (P2.T2) (M.Boland),2:43 PM
24,16,3,27,0021600457,Irving Free Throw Technical (1 PTS),,9:25,1,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,4 - 3,-1,,2:43 PM
25,11,3,29,0021600457,MISS Liggins Free Throw 1 of 2,,9:25,1,4.0,0,0,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:43 PM
26,1,4,30,0021600457,CAVALIERS Rebound,,9:25,1,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,2:43 PM
27,0,8,31,0021600457,,,9:25,1,5.0,5,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,1626172,Kevon Looney,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,SUB: Looney FOR Green,2:44 PM
28,12,3,32,0021600457,MISS Liggins Free Throw 2 of 2,,9:25,1,4.0,0,0,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:44 PM
29,0,4,34,0021600457,,,9:24,1,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Durant REBOUND (Off:0 Def:1),2:44 PM
30,2,6,35,0021600457,Thompson S.FOUL (P1.T1) (M.Boland),,9:20,1,4.0,5,1,202684,Tristan Thompson,CLE,Cleveland,1610612739.0,Cavaliers,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,,2:44 PM
31,11,3,36,0021600457,,,9:20,1,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,5 - 3,-2,Durant Free Throw 1 of 2 (3 PTS),2:44 PM
32,12,3,38,0021600457,,,9:20,1,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,6 - 3,-3,Durant Free Throw 2 of 2 (4 PTS),2:45 PM
33,1,1,40,0021600457,Love 25' 3PT Jump Shot (5 PTS) (Irving 1 AST),,9:06,1,4.0,4,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,6 - 6,TIE,,2:45 PM
34,2,5,42,0021600457,Irving STEAL (1 STL),,8:45,1,5.0,4,0,2585,Zaza Pachulia,GSW,Golden State,1610612744.0,Warriors,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Pachulia Lost Ball Turnover (P1.T3),2:46 PM
35,41,2,43,0021600457,MISS James 1' Running Layup,,8:37,1,4.0,0,0,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:46 PM
36,0,4,44,0021600457,Thompson REBOUND (Off:1 Def:0),,8:37,1,4.0,0,0,202684,Tristan Thompson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,2:46 PM
